CODGEO,total_establishment,micro_firms,small_firms,medium_firms,large_firms,agriculture_est,industry_est,construction_est,commerce_transport_est,public_est
02173,430,314,62,19,3,0,42,45,267,76
02174,15,8,4,1,0,3,2,2,6,2
02175,2,2,0,0,0,1,0,0,0,1
02176,3,3,0,0,0,0,1,0,0,2
02177,4,4,0,0,0,0,0,0,3,1
02178,4,3,0,0,0,0,0,1,2,1
02179,7,6,0,0,0,3,0,1,1,2
02180,11,8,1,0,0,6,1,2,0,2
02181,1,1,0,0,0,0,0,0,0,1
02182,3,2,0,0,0,2,0,0,0,1
02183,1,1,0,0,0,0,0,0,0,1
02184,6,5,0,1,0,2,0,1,1,2
02185,9,7,0,0,0,1,0,2,4,2
02186,34,26,4,1,0,11,5,1,14,3
02187,25,16,5,2,1,1,5,3,11,5
02188,2,2,0,0,0,0,1,0,0,1
02189,7,5,0,0,0,2,0,4,0,1
02190,8,7,0,0,0,0,1,0,3,4
02191,11,9,2,0,0,0,0,1,6,4
02192,12,11,0,0,0,5,0,2,4,1
02193,2,1,0,0,0,1,0,0,0,1
02194,2,2,0,0,0,1,0,0,0,1
02195,18,11,4,2,0,0,4,5,6,3
02196,8,5,3,0,0,0,0,2,5,1
02197,12,9,3,0,0,4,1,2,3,2
02198,4,4,0,0,0,1,2,0,0,1
02199,4,3,1,0,0,2,0,0,0,2
02200,8,8,0,0,0,4,0,0,3,1
02201,15,11,1,1,0,0,1,2,6,6
02203,19,17,1,0,0,3,2,3,8,3
02204,2,2,0,0,0,1,0,0,0,1
02205,1,1,0,0,0,0,0,0,0,1
